Title,Course Code,Instructor,Days,Time,Location,Description
Introduction to Machine Learning,COMPSCI 289A,Jennifer Listgarten,"TU, TH",2:00 pm - 3:29 pm,Haas Faculty Wing F295,N/A
Special Topics: Large Scale Vision and Language Models,COMPSCI 294,Trevor Darrell,M,3:00 pm - 4:59 pm,Berkeley Way West 1213,N/A
Special Topics: Immersive Computing and Virtual Reality,COMPSCI 294,Allen Y Yang,"TU, TH",3:30 pm - 4:59 pm,Soda 306,N/A
Special Topics: Machine Learning Systems,COMPSCI 294,"Joseph E. Gonzalez, Matei Zaharia","M, W",2:00 pm - 3:29 pm,Soda 310,N/A
Special Topics: Computational Human Vision,COMPSCI 294,Ren Ng,TU,1:00 pm - 3:59 pm,Berkeley Way West 1217,N/A
Special Topics: Special Topics on Decentralized Finance,COMPSCI 294,Xiaodong Dawn Song,M,10:00 am - 11:59 am,Joan and Sanford I. Weill 101D,N/A
Special Topics: Special Topics on Decentralized Intelligence: Large Language Model Agents,COMPSCI 294,Xiaodong Dawn Song,M,3:00 pm - 4:59 pm,Latimer 120,N/A
Special Topics: STAR Assessments for Proficiency-Based Learning,COMPSCI 294,"Dan Garcia, Armando Fox, Narges Norouzi",M,2:00 pm - 3:29 pm,Soda 606,N/A
Special Topics: Learning Problems in Quantum Computing,COMPSCI 294,John Wright,"M, W",10:30 am - 11:59 am,Soda 405,N/A
Special Topics: Research in AI Education,COMPSCI 294,"Gireeja Vishnu Ranade, Narges Norouzi",TU,2:00 pm - 3:29 pm,Soda 606,N/A
"Group Studies Seminars, or Group Research: Theory Seminar",COMPSCI 298,"Prasad Raghavendra, Avishay Tal",W,12:00 pm - 1:29 pm,Soda 438,N/A
"Group Studies Seminars, or Group Research: EECS Colloquium",COMPSCI 298,Jelani Nelson,W,4:00 pm - 4:59 pm,Soda 306,N/A
"Group Studies Seminars, or Group Research: Database Seminar",COMPSCI 298,"Joseph M Hellerstein, Aditya Parameswaran",W,11:00 am - 11:59 am,Soda 438,N/A
Adaptive Instruction Methods in Computer Science,COMPSCI 370,Christopher Todd Hunn,TU,5:00 pm - 6:59 pm,Wheeler 212,N/A
Adaptive Instruction Methods in Computer Science,COMPSCI 370,Christopher Todd Hunn,TH,5:00 pm - 6:59 pm,Wheeler 212,N/A
Teaching Techniques for Computer Science,COMPSCI 375,Armando Fox,F,10:00 am - 11:59 am,Soda 438,N/A
Introduction to Machine Learning,COMPSCI 189,Jennifer Listgarten,"TU, TH",2:00 pm - 3:29 pm,Haas Faculty Wing F295,N/A
Special Topics: Computational Human Vision,COMPSCI 194,Ren Ng,TU,1:00 pm - 3:59 pm,Berkeley Way West 1217,N/A
Special Topics: Special Topics on Decentralized Finance,COMPSCI 194,Xiaodong Dawn Song,M,10:00 am - 11:59 am,Joan and Sanford I. Weill 101D,N/A
Special Topics: Special Topics on Decentralized Intelligence: Large Language Model Agents,COMPSCI 194,Xiaodong Dawn Song,M,3:00 pm - 4:59 pm,Latimer 120,N/A
