Title,Course Code,Instructor,Days,Time,Location,Description
Aerospace Engineering 1 Seminar,AEROENG 1,Panayiotis Papadopoulos,F,11:00 am - 11:59 am,Etcheverry 3110,This is a freshman-level seminar course offered every Fall semester consisting of general-audience lectures by leading practitioners of aerospace engineering from the Bay Area and beyond. This seminar will be coordinated by a faculty member in charge of identifying and scheduling the speakers.
Introduction to Aerospace Engineering Design,AEROENG 10,N/A,"M, W, F",9:00 am - 9:59 am,Etcheverry 3108,"This course introduces mathematical engineering concepts and a wide range of analysis and design techniques of relevance to aerospace engineering via approximately 3-week modules covering the following topics: dynamics and control of a small quad-rotor aircraft; dynamics of elliptic, hyperbolic, and parabolic orbits, including rendezvous of objects in the same circular orbit; control volume analysis of a rocket engine; sling-shot effect to drive space probes into space; thermal control in outer space; optimization of airfoils using morphing techniques; rapid prototyping-assisted design of lightweight materials."
Introduction to Flight Mechanics,AEROENG C162,Thomas Lombaerts,"M, W",5:00 pm - 6:29 pm,Cory 277,"This course introduces flight mechanics and a wide range of analysis and design techniques of relevance to the flight and performance characteristics of aerospace vehicles. The course consists of 6 major modules with the following topics: introduction, flow types, lift and drag, aircraft performance, stability and control, and, prominently, space flight. The entire course is enriched with numerous practical examples from real life that help to understand the practical use of the subject matter."
Introduction to Compressible Flow,AEROENG C166,Swati Saxena,"TU, TH",3:30 pm - 4:59 pm,North Gate 105,"This course introduces the theory of compressible flows (gases) and the mathematics representation of different flow regimes. Students will learn about the governing equations of general compressible flows and special cases such as inviscid and irrotational flows. The course will cover the following topics: 1D-flow, converging-diverging nozzle, normal and oblique shock definitions and practical examples for aerospace applications, Mach waves, wave equation, shock tube, transonic flow, supersonic flow, method of characteristics, and an introduction to hypersonic flows. Practical examples of aerospace applications such as turbomachinery flows, flow past an airfoil and a 3D wing will be included."
Foundations of the U.S. Air Force,AEROSPC 1A,Megan Haley,W,1:00 pm - 1:59 pm,Wheeler 222,"This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies."
Foundations of the U.S. Air Force,AEROSPC 1A,Megan Haley,F,8:00 am - 8:59 am,Dwinelle 106,"This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies."
The Evolution of Air and Space Power,AEROSPC 2A,Megan Haley,W,2:00 pm - 2:59 pm,Dwinelle 234,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Students should demonstrate basic verbal and written communication skills. Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training."
The Evolution of Air and Space Power,AEROSPC 2A,Megan Haley,F,10:00 am - 10:59 am,Dwinelle 179,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Students should demonstrate basic verbal and written communication skills. Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training."
Leadership Laboratory,AEROSPC 100,"Megan Haley, Stephanie Stewart",F,12:00 pm - 1:59 pm,Donner Lab 155,"Leadership Lab (LLAB) represents the hands-on portion of the Aerospace Studies courses. It presents a dynamic and integrated grouping of leadership developmental activities. LLAB is a student planned, organized, and executed practicum intended to maximize cadet leadership experience and preparation for easy transition to their active duty assignments. It is conducted under the supervision of AFROTC cadre. The course focuses on the leadership experiences of senior and junior cadets and provides training in basic military knowledge and skills to underclass cadets. Cadets are trained on proper uniform wear, grooming and appearance requirements, physical fitness, knowledge of military customs and courtesies, and military drill and ceremony."
Leadership Studies,AEROSPC 135A,Stephanie Stewart,F,2:00 pm - 4:59 pm,Dwinelle 206,"This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written assignments and oral presentations."
