Name,Department,Rating,Difficulty,Number of Reviews,Would Take Again
Dan Stark,Environ. Sci. Policy & Mgmt.,3.0,3.5,2.0,
John Wilmoth,Sociology,4.5,2.0,1.0,
Yoram Rubin,Civil Engineering,2.8,2.8,5.0,
Alan Auerbach,Economics,1.5,5.0,1.0,
Ching-Shui Cheng,Statistics,2.3,3.3,16.0,
Patricia Buffler,Public Health,3.8,2.7,3.0,
Christy Dana,Music,4.3,3.4,9.0,
Elchanan Mossel,Statistics,3.6,3.6,9.0,100%
Richard Walker,Geography,3.8,2.6,28.0,
Anne Cheng,English,3.0,2.5,14.0,
Kathrine Sherwood,Art,3.7,2.7,11.0,
Juwon Lee,Physics,,,,
Xi He,Asian Studies,,,,
Sole  Anatrone,Italian,,,,
Julian Chow,Social Welfare,,,,
Michael Austin,Social Welfare,,,,
Frank Worrell,Education,,,,
Francesca Rochberg,Near Eastern Studies,,,,
Michael Bernstein,English,4.5,2.9,10.0,
Kent Udell,Engineering,3.4,2.3,22.0,
George Necula,Computer Science,3.0,3.5,2.0,
Ying-Ju Chen,Industrial Engineering,2.8,2.3,3.0,
Zakiyyah Jackson,Women,1.9,4.8,5.0,
Natalia Caporale,Biology,5.0,2.0,1.0,
Richard Lee,Urban Design & Development,3.5,4.6,4.0,
Rachel Shuh,French,4.8,3.3,28.0,88%
Nandini Ananth,Chemistry,,,,
Gabriel Trop,German,5.0,2.3,6.0,100%
Timothy Dayonot,Business Administration,4.4,2.3,6.0,100%
Kenneson Chen,German,3.0,3.0,1.0,0%
Zawadi Rucks Ahidiana,Sociology,1.0,4.0,1.0,0%
Eric Ryan,Business Administration,5.0,4.0,2.0,100%
George Bergman,Mathematics,1.7,3.4,19.0,
Peidong Yang,Chemistry,2.6,3.1,12.0,
Gabor Somorjai,Chemistry,2.1,2.9,7.0,
Kenneth E. Train,Economics,4.2,3.0,82.0,
Thomas Kirchstetter,Engineering,3.8,3.2,6.0,
William Schaefer,Chinese,2.3,3.5,12.0,
