Name,Department,Rating,Difficulty,Number of Reviews,Would Take Again
Dan Stark,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,3,3.5,2,N/A
John Wilmoth,Professor in the Sociology department at University of California Berkeley,4.5,2,1,N/A
Yoram Rubin,Professor in the Civil Engineering department at University of California Berkeley,2.8,2.8,5,N/A
Alan Auerbach,Professor in the Economics department at University of California Berkeley,1.5,5,1,N/A
Ching-Shui Cheng,Professor in the Statistics department at University of California Berkeley,2.3,3.3,16,N/A
Patricia Buffler,Professor in the Public Health department at University of California Berkeley,3.8,2.7,3,N/A
Christy Dana,Professor in the Music department at University of California Berkeley,4.3,3.4,9,N/A
Elchanan Mossel,Professor in the Statistics department at University of California Berkeley,3.6,3.6,9,100%
Richard Walker,Professor in the Geography department at University of California Berkeley,3.8,2.6,28,N/A
Anne Cheng,Professor in the English department at University of California Berkeley,3,2.5,14,N/A
Kathrine Sherwood,Professor in the Art department at University of California Berkeley,3.7,2.7,11,N/A
Juwon Lee,Professor in the Physics department at University of California Berkeley,N/A,N/A,,N/A
Xi He,Professor in the Asian Studies department at University of California Berkeley,N/A,N/A,,N/A
Sole  Anatrone,Professor in the Italian department at University of California Berkeley,N/A,N/A,,N/A
Julian Chow,Professor in the Social Welfare department at University of California Berkeley,N/A,N/A,,N/A
Michael Austin,Professor in the Social Welfare department at University of California Berkeley,N/A,N/A,,N/A
Frank Worrell,Professor in the Education department at University of California Berkeley,N/A,N/A,,N/A
Francesca Rochberg,Professor in the Near Eastern Studies department at University of California Berkeley,N/A,N/A,,N/A
Michael Bernstein,Professor in the English department at University of California Berkeley,4.5,2.9,10,N/A
Kent Udell,Professor in the Engineering department at University of California Berkeley,3.4,2.3,22,N/A
George Necula,Professor in the Computer Science department at University of California Berkeley,3,3.5,2,N/A
Ying-Ju Chen,Professor in the Industrial Engineering department at University of California Berkeley,2.8,2.3,3,N/A
Zakiyyah Jackson,Professor in the Women department at University of California Berkeley,1.9,4.8,5,N/A
Natalia Caporale,Professor in the Biology department at University of California Berkeley,5,2,1,N/A
Richard Lee,Professor in the Urban Design & Development department at University of California Berkeley,3.5,4.6,4,N/A
Rachel Shuh,Professor in the French department at University of California Berkeley,4.8,3.3,28,88%
Nandini Ananth,Professor in the Chemistry department at University of California Berkeley,N/A,N/A,,N/A
Gabriel Trop,Professor in the German department at University of California Berkeley,5,2.3,6,100%
Timothy Dayonot,Professor in the Business Administration department at University of California Berkeley,4.4,2.3,6,100%
Kenneson Chen,Professor in the German department at University of California Berkeley,3,3,1,0%
Zawadi Rucks Ahidiana,Professor in the Sociology department at University of California Berkeley,1,4,1,0%
Eric Ryan,Professor in the Business Administration department at University of California Berkeley,5,4,2,100%
George Bergman,Professor in the Mathematics department at University of California Berkeley,1.7,3.4,19,N/A
Peidong Yang,Professor in the Chemistry department at University of California Berkeley,2.6,3.1,12,N/A
Gabor Somorjai,Professor in the Chemistry department at University of California Berkeley,2.1,2.9,7,N/A
Kenneth E. Train,Professor in the Economics department at University of California Berkeley,4.2,3,82,N/A
Thomas Kirchstetter,Professor in the Engineering department at University of California Berkeley,3.8,3.2,6,N/A
William Schaefer,Professor in the Chinese department at University of California Berkeley,2.3,3.5,12,N/A
Tom Goldstein,Professor in the Mass Communications department at University of California Berkeley,3.6,1.9,29,N/A
Barrie Thorne,Professor in the Sociology department at University of California Berkeley,3.7,2.5,13,N/A
Alan Nelson,Professor in the English department at University of California Berkeley,3.9,2.3,12,N/A
Francis Wang,Professor in the Legal Studies department at University of California Berkeley,2.9,2.8,4,N/A
Rachel Shigekane,Professor in the Peace & Conflict Studies department at University of California Berkeley,4.2,3.2,5,N/A
Donald Moore,Professor in the Anthropology department at University of California Berkeley,3.8,4.5,6,N/A
Chiang Hsieh,Professor in the Economics department at University of California Berkeley,2.8,3,2,N/A
Roger Byrne,Professor in the Geography department at University of California Berkeley,3.6,2.9,12,N/A
Agnes Dimitriou,Professor in the Spanish department at University of California Berkeley,1.5,4.3,3,N/A
Robert Acker,Professor in the Geography department at University of California Berkeley,3.8,2.7,40,N/A
John Lindow,Professor in the Scandinavian department at University of California Berkeley,4.5,2.8,15,N/A
Robert Collins,Professor in the Anthropology department at University of California Berkeley,2.1,4.1,15,N/A
Kausalya Hart,Professor in the Asian Studies department at University of California Berkeley,2.1,3.6,12,N/A
George Chang,Professor in the Nutrition department at University of California Berkeley,2.5,1.6,18,100%
Leonard Bjeldanes,Professor in the Nutrition department at University of California Berkeley,4.4,2.2,11,N/A
Yuri Suzuki,Professor in the Engineering department at University of California Berkeley,2.1,3.5,8,N/A
Martin Covington,Professor in the Psychology department at University of California Berkeley,3.4,1.4,17,N/A
Vaughan Jones,Professor in the Mathematics department at University of California Berkeley,2.8,3.1,44,N/A
Alberto Sangiovanni-Vincentelli,Professor in the Electrical Engineering department at University of California Berkeley,3,1,1,N/A
